fips,feat,event_name,event_date,event_date_centered,target_before,target_diff_actual,target_diff_expected,intervention_effect,intervention_percent,neighbor_count,matched_diff_avg,matched_diff_std,change_in_stddevs,significant,cfips,mmwr_week,pblack,pfem,p65old,phisp,unemployment_rate_2018,ses,year,time,nw_var_2019,svar,lnurban,repvshare,ses3,anx_z,dep_z,ang_z
22071,Anxiety,First Covid Death,2020-03-14,2020-03-08,0.7984538960939498,0.06135797754156913,0.9819569448030041,-0.12214507116748519,-12.44,7,0.18350304870905437,0.24411780419995024,-0.9173181342592683,False,22071,7.0,61.526668548583984,52.13977813720703,6.151797294616699,5.385244846343994,5.0,-0.41829195618629456,2019.5047619047618,0.9965776889629308,2.0635831356048584,-0.7203793525695801,3.151526689529419,14.995022773742676,1,0.09917035663744346,0.015088517830840179,0.25259827417986735
22071,Depression,First Covid Death,2020-03-14,2020-03-08,0.5001836464174505,0.18555306559393903,0.6979071538416326,-0.012170441830243073,-1.74,7,0.1977235074241821,0.22346269967986254,-0.10444113860747685,False,22071,7.0,61.526668548583984,52.13977813720703,6.151797294616699,5.385244846343994,5.0,-0.41829195618629456,2019.5047619047618,0.9965776889629308,2.0635831356048584,-0.7203793525695801,3.151526689529419,14.995022773742676,1,0.09917035663744346,0.015088517830840179,0.25259827417986735
12105,Anxiety,First Covid Death,2020-03-31,2020-03-29,0.42498187594296455,0.12888708945463834,0.28644086254237133,0.26742810285523155,93.36,7,-0.1385410134005932,0.2195622256588747,2.0411049014098896,False,12105,15.0,16.810087203979492,50.981319427490234,9.575927734375,19.766218185424805,4.100000000000007,0.08263108134269714,2019.5047619047618,0.9965776889629308,0.2414858043193817,0.43382728099823,1.9406588077545166,56.68830108642578,2,-0.041771555608387904,-0.02775396515193972,0.05553031354294424
12105,Depression,First Covid Death,2020-03-31,2020-03-29,0.3569090244805242,0.16568828220588305,0.47284238821261965,0.0497549184737876,10.52,7,0.11593336373209547,0.1661812131483814,0.5484743032365906,False,12105,15.0,16.810087203979492,50.981319427490234,9.575927734375,19.766218185424805,4.100000000000007,0.08263108134269714,2019.5047619047618,0.9965776889629308,0.2414858043193817,0.43382728099823,1.9406588077545166,56.68830108642578,2,-0.041771555608387904,-0.02775396515193972,0.05553031354294424
12073,Anxiety,First Covid Death,2020-04-17,2020-04-12,0.4027224841151412,-0.11964995067032508,0.2689651651149454,0.01410736832987075,5.25,9,-0.1337573190001958,0.24598081837576696,0.08755153931897475,False,12073,43.0,32.359405517578125,52.44050598144531,5.5298871994018555,5.976953506469727,3.3000000000000065,1.0570789575576782,2019.5047619047618,0.9965776889629308,0.8055295348167419,0.5243610143661499,2.182246685028076,35.26259994506836,3,-0.1300376930118849,-0.12448807195427694,-0.06540846953700696
12073,Depression,First Covid Death,2020-04-17,2020-04-12,0.3807526246550381,0.014340844150644183,0.21734446339813548,0.17774900540754682,81.78,9,-0.16340816125690263,0.21901935989293983,1.564560575784214,False,12073,43.0,32.359405517578125,52.44050598144531,5.5298871994018555,5.976953506469727,3.3000000000000065,1.0570789575576782,2019.5047619047618,0.9965776889629308,0.8055295348167419,0.5243610143661499,2.182246685028076,35.26259994506836,3,-0.1300376930118849,-0.12448807195427694,-0.06540846953700696
41017,Anxiety,First Covid Death,2020-07-15,2020-07-12,0.44344589200041507,0.05290230288864628,0.2578116291218292,0.23853656576723214,92.52,6,-0.18563426287858587,0.26032362424667754,1.0590716352399756,False,41017,36.0,0.8969305753707886,50.630645751953125,8.652800559997559,7.669140338897705,4.199999999999992,0.7862035036087036,2019.5047619047618,0.9965776889629308,0.0068654525093734264,0.011492377147078514,0.19840022921562195,44.43362045288086,3,-0.11112601447939163,0.11798653311229178,-0.12023221048570815
41017,Depression,First Covid Death,2020-07-15,2020-07-12,0.5413660530538643,-0.0268210325923125,0.4220470848595472,0.09249793560200464,21.92,6,-0.11931896819431716,0.17694869956147039,0.5365753030114409,False,41017,36.0,0.8969305753707886,50.630645751953125,8.652800559997559,7.669140338897705,4.199999999999992,0.7862035036087036,2019.5047619047618,0.9965776889629308,0.0068654525093734264,0.011492377147078514,0.19840022921562195,44.43362045288086,3,-0.11112601447939163,0.11798653311229178,-0.12023221048570815
42069,Anxiety,First Covid Death,2020-03-23,2020-03-22,0.366560274831995,0.33917625679260405,0.46853780831576064,0.2371987233088384,50.63,5,0.10197753348376562,0.17325583915248838,1.620700681396079,False,42069,21.0,4.087087154388428,51.712364196777344,9.255271911621094,6.123374938964844,4.6000000000000085,-0.014398545026779175,2019.5047619047618,0.9965776889629308,1.689181923866272,2.29779314994812,2.311217784881592,45.34615707397461,2,0.07085864669421599,0.15490785937900434,0.06001842354224729
42069,Depression,First Covid Death,2020-03-23,2020-03-22,0.27204342150473904,0.39524564324976785,0.4616400122828744,0.2056490524716325,44.55,4,0.18959659077813534,0.21813575665430968,1.1027355468439355,False,42069,21.0,4.087087154388428,51.712364196777344,9.255271911621094,6.123374938964844,4.6000000000000085,-0.014398545026779175,2019.5047619047618,0.9965776889629308,1.689181923866272,2.29779314994812,2.311217784881592,45.34615707397461,2,0.07085864669421599,0.15490785937900434,0.06001842354224729
